feature_name,0,2
Fan2 speed,1.6511870261576647e-07,1.6511870261576647e-07
Fan3 speed,2.2365353143441458e-07,2.2365353143441458e-07
Fan4 speed,2.5481382023287077e-06,2.5481382023287077e-06
Inlet Temp,0.00023272440591810915,0.00023272440591810915
CPU1 Temp,0.007690828936192178,0.007690828936192178
Fan1 speed,0.00886044939134399,0.00886044939134399
Memory usage,0.21988014111126833,0.21988014111126833
Power consumption,0.28426509635894487,0.28426509635894487
CPU2 Temp,1.8148310214515637,1.8148310214515637
