feature_name,0,2
Fan4 speed,2.0977653208270608e-13,2.0977653208270608e-13
Fan3 speed,2.538646376448739e-13,2.538646376448739e-13
Fan2 speed,2.6150858822154843e-13,2.6150858822154843e-13
Inlet Temp,3.439776675301376e-13,3.439776675301376e-13
Fan1 speed,3.474174073425651e-13,3.474174073425651e-13
Memory usage,4.671707031639327e-12,4.671707031639327e-12
Power consumption,6.0701134070836416,6.0701134070836416
CPU2 Temp,42.719397611899936,42.719397611899936
CPU1 Temp,163.78273945006356,163.78273945006356
