feature_name,0,2
Inlet Temp,4.811893857988025e-07,4.811893857988025e-07
Fan2 speed,9.631977351269756e-07,9.631977351269756e-07
Fan3 speed,1.4111809058282854e-06,1.4111809058282854e-06
Fan1 speed,0.000991840915275571,0.000991840915275571
Memory usage,0.0021029506080047482,0.0021029506080047482
Fan4 speed,0.0035038647513444595,0.0035038647513444595
CPU2 Temp,0.13459161431393293,0.13459161431393293
CPU1 Temp,0.5235550336905657,0.5235550336905657
Power consumption,2.434320218859614,2.434320218859614
