feature_name,0,2,3,4,5
Fan4 speed,2.8838813753816065e-06,0.0,0.0026388735614178943,0.0,0.007571323925986752
Fan3 speed,9.06522088349194e-05,0.0,0.0038513317197339824,0.0,0.010924847266084751
Fan2 speed,0.001520093152072992,1.839190334451133e-05,0.0023211700418770236,0.006171964103370205,0.010190608388488618
Fan1 speed,0.0,1.8613518760655316e-07,0.038591395566170986,0.2923856189304542,0.07683884662268244
Inlet Temp,0.1973755008152543,1.350480044405274e-05,0.00021641094800497926,0.2727493846658984,0.02721133478462008
CPU2 Temp,0.22937222138044777,1.2565161765350055,0.14913308711217324,0.4259075342451243,0.0016764500280282743
CPU1 Temp,0.6898525772681159,0.12624051935900335,1.6756143692876957,0.04098029204503747,0.04026033275456305
Memory usage,0.40749449183165154,4.218312019619966,0.7513344232072314,0.2750861224317877,1.7109297712285763
Power consumption,0.07222954080467352,4.5473317105132445,0.7139968235794275,3.5156689444399087,0.5481186637491495
