feature_name,0,2
Fan4 speed,8.070800971982095e-16,8.070800971982095e-16
Fan2 speed,1.4753823163182744e-15,1.4753823163182744e-15
Fan3 speed,1.8122168262552085e-15,1.8122168262552085e-15
Inlet Temp,3.2170446861989888e-15,3.2170446861989888e-15
Fan1 speed,4.254355114724495e-15,4.254355114724495e-15
Memory usage,2.6251570361957022e-14,2.6251570361957022e-14
Power consumption,0.09062916757643111,0.09062916757643111
CPU2 Temp,0.6065474896600487,0.6065474896600487
CPU1 Temp,2.30848837596561,2.30848837596561
