feature_name,0,2,3,4,5,6
Fan3 speed,6.684281488748931,0.23257440387108808,2.8604616304903536,2.2266388037367975,0.0027418383877507906,14.65124312927823
Fan4 speed,0.43299250795907496,6.314797092833862,1.5133507119897813,16.538382829740186,0.0,2.855651908559665
Inlet Temp,0.0,11.1069520743891,0.0,31.796151641136692,0.0,0.7952296434694698
CPU2 Temp,0.6200525071041123,0.39375982024367945,36.034624779447206,9.639194940258704,5.35768857049864,6.373882558601595
Fan2 speed,5.2198656399884,22.123250177001115,4.1697125566577675,10.853026240181284,19.19585217937819,8.63701693410402
Fan1 speed,35.144729398881495,1.3948866749016153,5.116775632595695,33.02011791477127,2.423551522014022,43.173369229001224
Power consumption,9.564655523198223,20.450297586167945,8.519828283000415,7.233975587045702,7.315754629109415,160.11747718313015
Memory usage,147.62782507240516,15.37718785935636,11.287315448717722,0.014378848207716217,44.06746195980992,3.1054781300666603
CPU1 Temp,4.647596731387387,10.11440271552931,192.76306518606523,34.48945606166175,20.28148717195131,58.29769607471341
