feature_name,0,2
Inlet Temp,1.5036089279045484e-10,1.5036089279045484e-10
Fan2 speed,8.186527468076465e-09,8.186527468076465e-09
Fan4 speed,1.1718872730721863e-08,1.1718872730721863e-08
Memory usage,2.608455298816134e-05,2.608455298816134e-05
Fan1 speed,2.651873341104864e-05,2.651873341104864e-05
Fan3 speed,0.0016885285682585482,0.0016885285682585482
CPU1 Temp,0.07596177305578099,0.07596177305578099
Power consumption,0.4426002736668233,0.4426002736668233
CPU2 Temp,1.8910121752706424,1.8910121752706424
