feature_name,0,2,3,4
Fan4 speed,0.008671819377784506,0.0009733581762248343,2.373797211452288e-05,0.0
Fan3 speed,0.00016315331242946313,0.0005452273281748309,0.0,0.01059668368462596
Fan1 speed,0.0,0.007735975012270618,0.004529337273183701,0.0
Fan2 speed,0.023604935086493698,0.07543410164843382,0.012047270049206735,0.0
CPU1 Temp,0.0723826080682556,0.07056805242035466,0.0029336857250755652,0.016120564017582845
Inlet Temp,0.024991281822876237,0.01649138325048439,0.1858279262003428,0.0
Memory usage,0.017484032166077065,0.5565149927458002,0.10025337875758142,0.025005313489691927
CPU2 Temp,0.4478521792125562,0.011207487181226978,0.07210409705299016,0.35338507274996733
Power consumption,1.0803733958616515,0.8540072421757816,0.01935286611701361,0.14935988112762538
