feature_name,0,2
Fan4 speed,1.141448047192739e-15,1.141448047192739e-15
Fan3 speed,3.485926824975394e-14,3.485926824975394e-14
Fan2 speed,9.660306408976194e-14,9.660306408976194e-14
Fan1 speed,4.2752943112817077e-13,4.2752943112817077e-13
Power consumption,7.110993651554542e-13,7.110993651554542e-13
Inlet Temp,1.0430606031675005e-12,1.0430606031675005e-12
Memory usage,27.636309900891842,27.636309900891842
CPU2 Temp,185.2177601366225,185.2177601366225
CPU1 Temp,704.5315354890117,704.5315354890117
