feature_name,0,2
Fan1 speed,7.010451247291272e-16,7.010451247291272e-16
Fan3 speed,1.1962544670118813e-15,1.1962544670118813e-15
Fan4 speed,2.334070436926794e-15,2.334070436926794e-15
Fan2 speed,3.1797481314654874e-15,3.1797481314654874e-15
Inlet Temp,8.102893356287666e-15,8.102893356287666e-15
Memory usage,1.6024508109335756e-14,1.6024508109335756e-14
Power consumption,0.14680555196244416,0.14680555196244416
CPU2 Temp,0.9707954676978191,0.9707954676978191
CPU1 Temp,3.6984213468291043,3.6984213468291043
