feature_name,0,1,2,3,4,5,6
Inlet Temp,11747.685308397948,4430.842096411008,3067.84086405901,3802.5502756982287,5068.122301670186,12526.89022447836,3262.4301767808097
Fan4 speed,5046.499934615397,1.2785458084698769,4763.044849705756,8635.13754310693,1947.7048696827776,24318.513978148996,6283.57775472318
Fan1 speed,8536.803897272157,975.2461980337001,10653.092589255666,2299.833375169205,4917.703363558464,13490.803273642614,11438.828658759594
Fan3 speed,4785.823256313346,0.054700507550635366,13250.263829626632,21957.015394375994,6229.075289266606,27655.08027907287,4928.728383830846
Fan2 speed,7811.456607144668,167.2675552943347,18414.57156951435,4319.848983608124,6151.7838399279435,40818.93502191358,10841.92443058552
CPU2 Temp,5283.471036970175,3342.3643794704217,33213.480577837254,43950.34374721381,31655.12431250683,10762.742947453138,23916.360262954608
Power consumption,51584.970501222546,1744.797677635652,77632.84893725213,49851.4032247648,32777.92458690516,31328.851828822666,25387.270668239944
CPU1 Temp,23814.28206355164,2664.35080020066,86448.68943099823,57681.036676551455,31354.313088776926,14488.505339829113,59794.41769492284
Memory usage,78217.61803538246,7431.136149318928,8890.42331766932,181919.37113546854,51792.56515370334,4113.299287549256,60442.647321443605
