feature_name,0,2
Fan3 speed,5.3666752452587174e-08,5.3666752452587174e-08
Fan2 speed,1.7425134285920657e-07,1.7425134285920657e-07
Fan4 speed,1.867582636980755e-05,1.867582636980755e-05
Fan1 speed,1.9375420293211336e-05,1.9375420293211336e-05
Inlet Temp,5.885741914519148e-05,5.885741914519148e-05
Memory usage,0.005261149266863726,0.005261149266863726
CPU1 Temp,0.3850983903201449,0.3850983903201449
Power consumption,2.2430969185124403,2.2430969185124403
CPU2 Temp,9.331442280987039,9.331442280987039
