feature_name,0,2
Fan3 speed,1.0289447245626082e-13,1.0289447245626082e-13
Fan2 speed,1.5983351794868206e-13,1.5983351794868206e-13
Fan4 speed,1.7117270057973033e-13,1.7117270057973033e-13
Fan1 speed,1.9148051200179594e-13,1.9148051200179594e-13
Inlet Temp,9.832065717141347e-13,9.832065717141347e-13
Power consumption,0.5099602560366653,0.5099602560366653
Memory usage,16.960252509938982,16.960252509938982
CPU2 Temp,114.45911614212014,114.45911614212014
CPU1 Temp,432.48389063076837,432.48389063076837
