feature_name,0,2,3
Fan4 speed,0.0,0.0,0.0017403359407980343
Inlet Temp,0.0,0.0,0.0029361402393601617
Fan2 speed,5.347485083611464e-07,0.0,0.019643962708368753
CPU2 Temp,0.029101742569154508,0.032030068711446424,0.015270103126758078
Fan1 speed,0.02363555610391662,0.0018887864837748053,0.11485306256158437
Fan3 speed,0.02543076505788326,0.003379453679888715,0.1280823749661386
Power consumption,0.1373129462167541,0.1318220396805913,0.0666299477352168
CPU1 Temp,0.28293190411277885,0.009874877504036624,0.18821418631940431
Memory usage,1.2075111189671366,0.11444936150401351,0.13896181576422426
